longitude,latitude
-128.3236727,54.8354553
-128.2766919,54.8023074
-128.3204487,54.837237
-128.2836825,54.815112
-128.3366355,54.8526174
-128.2591637,54.762
-128.2573396,54.7619886
-128.2583859,54.7491072
-128.3195198,54.6990021
-128.3742045,54.8748198
-128.379025,54.8770665
-128.3484839,54.6882691
-128.3812787,54.8832438
-128.3502784,54.6802661
-128.3744371,54.6632094
-128.3755977,54.6617796
-128.3763731,54.6614778
-128.3748539,54.6607542
-128.3756727,54.6603978
-128.3863036,54.6576817
-128.3869345,54.656773
-128.3849996,54.6566493
-128.3885224,54.6552183
-128.3920336,54.6512058
-128.3833896,54.6485145
-128.4193404,54.644064
-128.4071299,54.6399297
-128.4083763,54.6394571
-128.4095831,54.6388418
-128.4083816,54.6387578
-128.4129194,54.6390272
-128.4101646,54.638427
-128.4120781,54.6382011
-128.4134,54.6382199
-128.4070729,54.6376451
-128.4167247,54.6382083
-128.4175302,54.6381655
-128.4151856,54.6379338
-128.4078841,54.637172
-128.4233034,54.6380426
-128.4096139,54.6369946
-128.4186261,54.6375164
-128.4110317,54.6367964
-128.4103259,54.6366848
-128.4227332,54.6373368
-128.4001476,54.6358804
-128.4218358,54.6371393
-128.4103974,54.6363159
-128.4214135,54.6370939
-128.4126423,54.636442
-128.4256451,54.6374406
-128.422379,54.6371286
-128.402549,54.6357617
-128.4138744,54.6362564
-128.4149218,54.6361014
-128.4173329,54.6358836
-128.4051179,54.635057
-128.4181406,54.6356167
-128.4185612,54.6356353
-128.4040586,54.6347461
-128.4057605,54.6346231
-128.4085916,54.6344151
-128.4090432,54.6344331
-128.4274417,54.6357736
-128.4063596,54.6342438
-128.4080518,54.6342195
-128.4070672,54.6341223
-128.4096829,54.6342144
-128.4089281,54.633799
-128.4087019,54.633651
-128.4072101,54.6333845
-128.4038519,54.6330828
-128.4286531,54.6347187
-128.4068652,54.6330686
-128.4281287,54.6345229
-128.407579,54.6325257
-128.3926526,54.9475535
-128.3942494,54.6155849
-128.3989725,54.615618
-128.3936728,54.6150224
-128.396734,54.6145234
-128.3985074,54.6143094
-128.3869432,54.6138718
-128.3974813,54.6140247
-128.3987188,54.6136778
-128.3976401,54.6135555
-128.3989044,54.6131364
-128.3978257,54.613014
-128.3923633,54.612816
-128.3893203,54.6125616
-128.3990905,54.6126039
-128.3980118,54.6124815
