addressString,fullAddress,score,precision,faults,X,Y,Notes
"coquitlam, BC","Coquitlam, BC",68,LOCALITY(68),[],-122.7933334,49.2838889,
"hope, BC","Hope, BC",68,LOCALITY(68),[],-121.4413889,49.3797222,
"port coquitlam, BC","Port Coquitlam, BC",68,LOCALITY(68),[],-122.7802778,49.2616666,
"revelstoke, BC","Revelstoke, BC",68,LOCALITY(68),[],-118.1955556,50.9986111,
"chilliwack, BC","Chilliwack, BC",68,LOCALITY(68),[],-121.9505555,49.1575,
"creston, BC","Creston, BC",68,LOCALITY(68),[],-116.5130556,49.0972222,
"coombs, BC","Coombs, BC",68,LOCALITY(68),[],-124.4177778,49.2997223,
"sparwood, BC","Sparwood, BC",68,LOCALITY(68),[],-114.8855555,49.7330556,
"halfmoon bay, BC","Halfmoon Bay, BC",68,LOCALITY(68),[],-123.9177778,49.5163888,
"keremeos, BC","Keremeos, BC",68,LOCALITY(68),[],-119.8294445,49.2044444,
"port moody, BC","Port Moody, BC",68,LOCALITY(68),[],-122.8291666,49.2819445,
"lantzville, BC","Lantzville, BC",68,LOCALITY(68),[],-124.0741667,49.2502778,
"terrace, BC","Terrace, BC",68,LOCALITY(68),[],-128.5994444,54.5161111,
"grand forks, BC","Grand Forks, BC",68,LOCALITY(68),[],-118.4391667,49.0308334,
"central saanich, BC","Central Saanich, BC",68,LOCALITY(68),[],-123.4205555,48.5941666,
"kelowna, BC","Kelowna, BC",68,LOCALITY(68),[],-119.4955556,49.8877778,
"mill bay, BC","Mill Bay, BC",68,LOCALITY(68),[],-123.5588889,48.6519444,
"port alberni, BC","Port Alberni, BC",68,LOCALITY(68),[],-124.8055556,49.2341667,
"saanich, BC","Saanich, BC",68,LOCALITY(68),[],-123.3730555,48.4563889,
"cranbrook, BC","Cranbrook, BC",68,LOCALITY(68),[],-115.7466667,49.5077778,
"parksville, BC","Parksville, BC",68,LOCALITY(68),[],-124.3113889,49.3177778,
"langley, BC","Langley, BC",68,LOCALITY(68),[],-122.6580555,49.1022222,
"powell river, BC","Powell River, BC",68,LOCALITY(68),[],-124.5241667,49.8352778,
"duncan, BC","Duncan, BC",68,LOCALITY(68),[],-123.7080556,48.7783334,
"squamish, BC","Squamish, BC",68,LOCALITY(68),[],-123.1555555,49.6977778,
"sechelt, BC","Sechelt, BC",68,LOCALITY(68),[],-123.7630555,49.4713889,
"houston, BC","Houston, BC",68,LOCALITY(68),[],-126.6480555,54.3980555,
"white rock, BC","White Rock, BC",68,LOCALITY(68),[],-122.7980555,49.0233333,
"maple ridge, BC","Maple Ridge, BC",68,LOCALITY(68),[],-122.5988889,49.2197222,
"salmo, BC","Salmo, BC",68,LOCALITY(68),[],-117.2783334,49.1930556,
"merritt, BC","Merritt, BC",68,LOCALITY(68),[],-120.7880556,50.1122222,
"north saanich, BC","North Saanich, BC",68,LOCALITY(68),[],-123.4319444,48.6561111,
"dawson creek, BC","Dawson Creek, BC",68,LOCALITY(68),[],-120.2355556,55.7602778,
"prince george, BC","Prince George, BC",68,LOCALITY(68),[],-122.7452778,53.9127778,
"black creek, BC","Black Creek, BC",68,LOCALITY(68),[],-125.1344444,49.8330556,
"castlegar, BC","Castlegar, BC",68,LOCALITY(68),[],-117.6666666,49.3241666,
"williams lake, BC","Williams Lake, BC",68,LOCALITY(68),[],-122.14,52.1288889,
"esquimalt, BC","Esquimalt, BC",68,LOCALITY(68),[],-123.4141666,48.4294445,
"surrey, BC","Surrey, BC",68,LOCALITY(68),[],-122.8275,49.1113889,
"coldstream, BC","Coldstream, BC",68,LOCALITY(68),[],-119.23,50.2236111,
"fort st john, BC","Fort St. John, BC",68,LOCALITY(68),[],-120.8466666,56.2522222,
"new westminster, BC","New Westminster, BC",68,LOCALITY(68),[],-122.9105556,49.2063889,
"mission, BC","Mission, BC",68,LOCALITY(68),[],-122.2838889,49.1588889,
"nanaimo, BC","Nanaimo, BC",68,LOCALITY(68),[],-123.9380556,49.1636111,
"salt spring island, BC","Salt Spring Island, BC",68,LOCALITY(68),[],-123.4973555,48.8245545,
"lake country, BC","Lake Country, BC",68,LOCALITY(68),[],-119.4025,50.03,
"summerland, BC","Summerland, BC",68,LOCALITY(68),[],-119.6816667,49.6019445,
"west vancouver, BC","West Vancouver, BC",68,LOCALITY(68),[],-123.1594445,49.3308333,
"burnaby, BC","Burnaby, BC",68,LOCALITY(68),[],-122.9727778,49.2425,
"kamloops, BC","Kamloops, BC",68,LOCALITY(68),[],-120.3391667,50.6755556,
"view royal, BC","View Royal, BC",68,LOCALITY(68),[],-123.4341667,48.4516667,
"lee creek, BC","Lee Creek, BC",68,LOCALITY(68),[],-119.5344444,50.8997222,
"university of british columbia, Vancouver BC","University Blvd, Vancouver, BC",69,STREET(78),"[LOCALITY_GARBAGE.notAllowed:3, STREET_TYPE.missing:6]",-123.2355779,49.2655799,
"victoria, BC","Victoria, BC",68,LOCALITY(68),[],-123.3644445,48.4280555,
"montrose, BC","Montrose, BC",68,LOCALITY(68),[],-117.5941666,49.0786111,
"enderby, BC","Enderby, BC",68,LOCALITY(68),[],-119.1391667,50.5502777,
"golden, BC","Golden, BC",68,LOCALITY(68),[],-116.9644445,51.2975,
"west kelowna, BC","West Kelowna, BC",68,LOCALITY(68),[],-119.608228,49.8603478,
"abbotsford, BC","Abbotsford, BC",68,LOCALITY(68),[],-122.3291667,49.0519444,
"chemainus, BC","Chemainus, BC",68,LOCALITY(68),[],-123.7177778,48.9163889,
"qualicum beach, BC","Qualicum Beach, BC",68,LOCALITY(68),[],-124.4438889,49.3477778,
"sooke, BC","Sooke, BC",68,LOCALITY(68),[],-123.7316667,48.3825,
"agassiz, BC","Agassiz, BC",68,LOCALITY(68),[],-121.7677778,49.2330555,
"lake cowichan, BC","Lake Cowichan, BC",68,LOCALITY(68),[],-124.0563889,48.8255556,
"trail, BC","Trail, BC",68,LOCALITY(68),[],-117.7091666,49.0941667,
"pemberton, BC","Pemberton, BC",68,LOCALITY(68),[],-122.8077778,50.3202778,
"vernon, BC","Vernon, BC",68,LOCALITY(68),[],-119.2716666,50.2655556,
"cobble hill, BC","Cobble Hill, BC",68,LOCALITY(68),[],-123.6011111,48.6830556,
"ladysmith, BC","Ladysmith, BC",68,LOCALITY(68),[],-123.8155556,48.9930556,
"nanoose bay, BC","Nanoose Bay, BC",68,LOCALITY(68),[],-124.2011112,49.2663889,
"penticton, BC","Penticton, BC",68,LOCALITY(68),[],-119.5938888,49.5005556,
"campbell river, BC","Campbell River, BC",68,LOCALITY(68),[],-125.2433334,50.0227778,
"colwood, BC","Colwood, BC",68,LOCALITY(68),[],-123.4930556,48.4233333,
"quesnel, BC","Quesnel, BC",68,LOCALITY(68),[],-122.4933333,52.9794444,
"pitt meadows, BC","Pitt Meadows, BC",68,LOCALITY(68),[],-122.6902778,49.2202777,
"courtenay, BC","Courtenay, BC",68,LOCALITY(68),[],-124.9955556,49.6891666,
"delta, BC","Delta, BC",68,LOCALITY(68),[],-123.0583333,49.0844445,
"oak bay, BC","Oak Bay, BC",68,LOCALITY(68),[],-123.3180556,48.4255555,
"shawnigan lake, BC","Shawnigan Lake, BC",68,LOCALITY(68),[],-123.6274999,48.6575,
"richmond, BC","Richmond, BC",68,LOCALITY(68),[],-123.1630556,49.1630556,
"whistler, BC","Whistler, BC",68,LOCALITY(68),[],-122.9544444,50.1169445,
"elkford, BC","Elkford, BC",68,LOCALITY(68),[],-114.9216667,50.0241666,
"gibsons, BC","Gibsons, BC",68,LOCALITY(68),[],-123.5088888,49.4,
"comox, BC","Comox, BC",68,LOCALITY(68),[],-124.9277778,49.6725,
"salmon arm, BC","Salmon Arm, BC",68,LOCALITY(68),[],-119.2780555,50.7011111,
"vancouver, BC","Vancouver, BC",68,LOCALITY(68),[],-123.1138889,49.2608333,
"langford, BC","Langford, BC",68,LOCALITY(68),[],-123.5041667,48.4494445,
"north vancouver, BC","North Vancouver, BC",68,LOCALITY(68),[],-123.0738889,49.3202777,
"oliver, BC","Oliver, BC",68,LOCALITY(68),[],-119.5505555,49.1822222,
"peachland, BC","Peachland, BC",68,LOCALITY(68),[],-119.7363889,49.7736111,
"cowichan bay, BC","Cowichan Bay, BC",68,LOCALITY(68),[],-123.6177778,48.7330555,
"fernie, BC","Fernie, BC",68,LOCALITY(68),[],-115.0627778,49.5038889,
"tappen, BC","Tappen, BC",68,LOCALITY(68),[],-119.3344445,50.7830556,
"chetwynd, BC","Chetwynd, BC",68,LOCALITY(68),[],-121.6380556,55.6955555,
"deroche, BC","Deroche, BC",68,LOCALITY(68),[],-122.0677777,49.1830556,
"sidney, BC","Sidney, BC",68,LOCALITY(68),[],-123.3980556,48.6502778,
"nelson, BC","Nelson, BC",68,LOCALITY(68),[],-117.2955556,49.4930555,
"christina lake, BC","Christina Lake, BC",68,LOCALITY(68),[],-118.2094444,49.0427777,
"mclure, BC","McLure, BC",68,LOCALITY(68),[],-120.2344445,51.0497222,
"blind bay, BC","Blind Bay, BC",68,LOCALITY(68),[],-119.3844444,50.8830555,
"okanagan falls, BC","Okanagan Falls, BC",68,LOCALITY(68),[],-119.5677778,49.3497223,
"armstrong, BC","Armstrong, BC",68,LOCALITY(68),[],-119.1966666,50.4480556,
"vanderhoof, BC","Vanderhoof, BC",68,LOCALITY(68),[],-124.0072222,54.0172222,
"roberts creek, BC","Roberts Creek, BC",68,LOCALITY(68),[],-123.6441667,49.4222222,
"clearwater, BC","Clearwater, BC",68,LOCALITY(68),[],-120.0322222,51.6452778,
"metchosin, BC","Metchosin, BC",68,LOCALITY(68),[],-123.5355555,48.3788889,
"port hardy, BC","Port Hardy, BC",68,LOCALITY(68),[],-127.4980556,50.7241667,
"wasa, BC","Wasa, BC",68,LOCALITY(68),[],-115.7341666,49.7830556,
"kaleden, BC","Kaleden, BC",68,LOCALITY(68),[],-119.6011112,49.3997222,
"malahat, BC","Malahat, BC",68,LOCALITY(68),[],-123.5652777,48.5477778,
"prince rupert, BC","Prince Rupert, BC",68,LOCALITY(68),[],-130.3252778,54.3125,
"osoyoos, BC","Osoyoos, BC",68,LOCALITY(68),[],-119.4680555,49.0322222,
"lake errock, BC","Lake Errock, BC",68,LOCALITY(68),[],-122.0177778,49.2163889,
"sicamous, BC","Sicamous, BC",68,LOCALITY(68),[],-118.98,50.8358334,
"hatzic, BC","Hatzic, BC",68,LOCALITY(68),[],-122.235829,49.2652887,
"sirdar, BC","Sirdar, BC",68,LOCALITY(68),[],-116.6425978,49.2975663,
"princeton, BC","Princeton, BC",68,LOCALITY(68),[],-120.5077777,49.46,
"sorrento, BC","Sorrento, BC",68,LOCALITY(68),[],-119.4666667,50.8766667,
"smithers, BC","Smithers, BC",68,LOCALITY(68),[],-127.1758334,54.7788889,
"spallumcheen, BC","Spallumcheen, BC",68,LOCALITY(68),[],-119.2174999,50.4022222,
"kersley, BC","Kersley, BC",68,LOCALITY(68),[],-122.4177778,52.8163889,
"charlie lake, BC","Charlie Lake, BC",68,LOCALITY(68),[],-120.9513889,56.2830556,
"fraser lake, BC","Fraser Lake, BC",68,LOCALITY(68),[],-124.8438889,54.06,
"ymir, BC","Ymir, BC",68,LOCALITY(68),[],-117.2175,49.2830556,
"fruitvale, BC","Fruitvale, BC",68,LOCALITY(68),[],-117.5427778,49.1147222,
"kimberley, BC","Kimberley, BC",68,LOCALITY(68),[],-115.9816667,49.6847222,
"invermere, BC","Invermere, BC",68,LOCALITY(68),[],-116.0305555,50.5055555,
"lions bay, BC","Lions Bay, BC",68,LOCALITY(68),[],-123.2352778,49.4583334,
"wycliffe, BC","Wycliffe, BC",68,LOCALITY(68),[],-115.8675001,49.5997223,
"aspen grove, BC","Aspen Grove, BC",68,LOCALITY(68),[],-120.6177778,49.9330556,
"bridesville, BC","Bridesville, BC",68,LOCALITY(68),[],-119.1511111,49.0330556,
"falkland, BC","Falkland, BC",68,LOCALITY(68),[],-119.5580556,50.5011111,
"woodpecker, BC","Woodpecker, BC",68,LOCALITY(68),[],-122.6888889,53.5291666,
"thornhill, BC","Thornhill, BC",68,LOCALITY(68),[],-128.5347222,54.5163889,
"mackenzie, BC","Mackenzie, BC",68,LOCALITY(68),[],-123.0927777,55.3241667,
"radium hot springs, BC","Radium Hot Springs, BC",68,LOCALITY(68),[],-116.0758334,50.6197222,
"groundbirch, BC","Groundbirch, BC",68,LOCALITY(68),[],-120.9180555,55.7830556,
"fairmont hot springs, BC","Fairmont Hot Springs, BC",68,LOCALITY(68),[],-115.8566667,50.3358334,
"erie, BC","Erie, BC",68,LOCALITY(68),[],-117.3355556,49.1905556,
"union bay, BC","Union Bay, BC",68,LOCALITY(68),[],-124.8863888,49.5833334,
"dewdney, BC","Dewdney, BC",68,LOCALITY(68),[],-122.1698247,49.1794524,
"popkum, BC","Popkum, BC",68,LOCALITY(68),[],-121.7344444,49.1997222,
