addressString
"coquitlam, BC"
"hope, BC"
"port coquitlam, BC"
"revelstoke, BC"
"chilliwack, BC"
"creston, BC"
"coombs, BC"
"sparwood, BC"
"halfmoon bay, BC"
"keremeos, BC"
"port moody, BC"
"lantzville, BC"
"terrace, BC"
"grand forks, BC"
"central saanich, BC"
"kelowna, BC"
"mill bay, BC"
"port alberni, BC"
"saanich, BC"
"cranbrook, BC"
"parksville, BC"
"langley, BC"
"powell river, BC"
"duncan, BC"
"squamish, BC"
"sechelt, BC"
"houston, BC"
"white rock, BC"
"maple ridge, BC"
"salmo, BC"
"merritt, BC"
"north saanich, BC"
"dawson creek, BC"
"prince george, BC"
"black creek, BC"
"castlegar, BC"
"williams lake, BC"
"esquimalt, BC"
"surrey, BC"
"coldstream, BC"
"fort st john, BC"
"new westminster, BC"
"mission, BC"
"nanaimo, BC"
"salt spring island, BC"
"lake country, BC"
"summerland, BC"
"west vancouver, BC"
"burnaby, BC"
"kamloops, BC"
"view royal, BC"
"lee creek, BC"
"ubc, BC"
"victoria, BC"
"montrose, BC"
"enderby, BC"
"golden, BC"
"west kelowna, BC"
"abbotsford, BC"
"chemainus, BC"
"qualicum beach, BC"
"sooke, BC"
"agassiz, BC"
"lake cowichan, BC"
"trail, BC"
"pemberton, BC"
"vernon, BC"
"cobble hill, BC"
"ladysmith, BC"
"nanoose bay, BC"
"penticton, BC"
"campbell river, BC"
"colwood, BC"
"quesnel, BC"
"pitt meadows, BC"
"courtenay, BC"
"delta, BC"
"oak bay, BC"
"shawnigan lake, BC"
"richmond, BC"
"whistler, BC"
"elkford, BC"
"gibsons, BC"
"comox, BC"
"salmon arm, BC"
"vancouver, BC"
"langford, BC"
"north vancouver, BC"
"oliver, BC"
"peachland, BC"
"cowichan bay, BC"
"fernie, BC"
"tappen, BC"
"chetwynd, BC"
"deroche, BC"
"sidney, BC"
"nelson, BC"
"christina lake, BC"
"mclure, BC"
"blind bay, BC"
"okanagan falls, BC"
"armstrong, BC"
"vanderhoof, BC"
"roberts creek, BC"
"clearwater, BC"
"metchosin, BC"
"port hardy, BC"
"wasa, BC"
"kaleden, BC"
"malahat, BC"
"prince rupert, BC"
"osoyoos, BC"
"lake errock, BC"
"sicamous, BC"
"hatzic, BC"
"sirdar, BC"
"princeton, BC"
"sorrento, BC"
"smithers, BC"
"spallumcheen, BC"
"kersley, BC"
"charlie lake, BC"
"fraser lake, BC"
"ymir, BC"
"fruitvale, BC"
"kimberley, BC"
"invermere, BC"
"lions bay, BC"
"wycliffe, BC"
"aspen grove, BC"
"bridesville, BC"
"falkland, BC"
"woodpecker, BC"
"thornhill, BC"
"mackenzie, BC"
"radium hot springs, BC"
"groundbirch, BC"
"fairmont hot springs, BC"
"erie, BC"
"union bay, BC"
"dewdney, BC"
"popkum, BC"
